epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3439.27,2.34477,26.1981,1.27321,0.81356,0.05554,0.03477,0.00953,2.40867,17.074,1.37667,0.000369078,0.000369078,0.000369078
2,4361.01,2.58935,14.2704,1.42903,0.53617,0.03839,0.02388,0.00818,2.7725,9.25,1.60012,0.000732091,0.000732091,0.000732091
3,5303.43,2.65514,7.28557,1.53212,0.29181,0.03558,0.02608,0.00894,2.83929,95.1898,1.66264,0.00108777,0.00108777,0.00108777
4,6225.98,2.77862,5.208,1.52357,0.31219,0.0515,0.04075,0.01319,2.61875,4.56919,1.52645,0.001078,0.001078,0.001078
5,7122.52,2.73076,4.83503,1.5505,0.80186,0.04869,0.02975,0.00872,2.62012,4.22426,1.52058,0.001067,0.001067,0.001067
6,8027.54,2.66376,4.40922,1.49383,0.41092,0.07984,0.04428,0.01583,2.50146,4.31512,1.51177,0.00105601,0.00105601,0.00105601
7,8955.34,2.56567,4.21277,1.46374,0.81743,0.04494,0.05481,0.01903,2.44847,3.85737,1.4224,0.00104501,0.00104501,0.00104501
8,9855.45,2.57157,3.93834,1.44692,0.73284,0.06018,0.05192,0.01814,2.65158,3.70283,1.49448,0.00103401,0.00103401,0.00103401
9,10756.4,2.51964,3.95112,1.42808,0.81323,0.09551,0.07887,0.02822,2.39644,3.23818,1.45645,0.00102301,0.00102301,0.00102301
10,11661.5,2.56859,3.86735,1.4061,0.81189,0.07732,0.07923,0.02801,2.43356,3.45898,1.50045,0.00101201,0.00101201,0.00101201
11,12548.8,2.4751,3.82418,1.44021,0.81446,0.09551,0.06497,0.02093,2.41791,3.69244,1.45479,0.00100101,0.00100101,0.00100101
12,13441.2,2.50085,3.88163,1.46047,0.62484,0.10699,0.06338,0.02227,2.41943,3.37436,1.4287,0.000990012,0.000990012,0.000990012
13,14351.3,2.40942,3.69123,1.37552,0.69154,0.08665,0.07909,0.02739,2.40959,3.33868,1.45073,0.000979013,0.000979013,0.000979013
14,15248.7,2.4137,3.69722,1.40526,0.69747,0.07048,0.05486,0.01915,2.49061,3.47268,1.44693,0.000968014,0.000968014,0.000968014
15,16044.8,2.40358,3.6411,1.41932,0.63705,0.10241,0.07954,0.02652,2.35919,3.16124,1.4365,0.000957015,0.000957015,0.000957015
16,16992,2.42255,3.57477,1.37108,0.5949,0.10563,0.05214,0.01591,2.50332,3.38142,1.48533,0.000946016,0.000946016,0.000946016
17,17979.3,2.40192,3.55151,1.37146,0.63898,0.14328,0.10687,0.03991,2.37097,3.03526,1.41669,0.000935018,0.000935018,0.000935018
18,18857,2.41806,3.50028,1.39645,0.56864,0.10001,0.06802,0.0182,2.60037,3.29528,1.48618,0.000924019,0.000924019,0.000924019
19,19780.4,2.35676,3.53863,1.43112,0.38002,0.10307,0.07483,0.02259,2.47751,3.1862,1.48789,0.00091302,0.00091302,0.00091302
20,20734,2.31797,3.33091,1.33434,0.60262,0.1469,0.08931,0.0257,2.36748,3.44525,1.45181,0.000902021,0.000902021,0.000902021
21,21710,2.40005,3.39598,1.32776,0.62063,0.10213,0.09766,0.02569,2.47958,3.17176,1.45503,0.000891022,0.000891022,0.000891022
22,22657.9,2.39746,3.42536,1.42715,0.6384,0.10613,0.07768,0.02224,2.51547,3.19138,1.45084,0.000880023,0.000880023,0.000880023
23,23608.4,2.3201,3.33774,1.3134,0.60852,0.10962,0.07777,0.02198,2.48056,3.10746,1.46012,0.000869024,0.000869024,0.000869024
24,24571.6,2.28978,3.28718,1.32103,0.36328,0.13475,0.12313,0.04018,2.26698,2.94165,1.39878,0.000858025,0.000858025,0.000858025
25,25534.3,2.32772,3.28122,1.34081,0.6077,0.1238,0.08319,0.02609,2.37565,3.11136,1.43126,0.000847026,0.000847026,0.000847026
26,26464,2.29972,3.2372,1.32989,0.37158,0.14401,0.09389,0.02667,2.39678,2.99293,1.39401,0.000836027,0.000836027,0.000836027
27,27451.9,2.25857,3.13399,1.31755,0.61909,0.12529,0.11191,0.03858,2.33756,2.93768,1.39669,0.000825029,0.000825029,0.000825029
28,28424.3,2.30062,3.11341,1.38982,0.33699,0.12885,0.06431,0.01759,2.47883,3.09664,1.45514,0.00081403,0.00081403,0.00081403
29,29398.8,2.24526,3.32245,1.34533,0.59343,0.1569,0.11385,0.03855,2.26541,2.92293,1.39681,0.000803031,0.000803031,0.000803031
30,30387.8,2.20395,3.13768,1.30327,0.70413,0.10699,0.09431,0.03285,2.23277,3.00891,1.37569,0.000792032,0.000792032,0.000792032
31,31363.6,2.22197,3.10047,1.29638,0.65659,0.12954,0.0989,0.03242,2.32419,3.05503,1.39179,0.000781033,0.000781033,0.000781033
32,32315.5,2.26256,3.0554,1.31661,0.38579,0.14077,0.10089,0.02923,2.46326,2.90223,1.45378,0.000770034,0.000770034,0.000770034
33,33291.2,2.23597,3.01436,1.29706,0.5864,0.17122,0.12604,0.04702,2.19954,2.8888,1.35418,0.000759035,0.000759035,0.000759035
34,34272.6,2.17186,3.06343,1.32822,0.5254,0.16588,0.10966,0.04036,2.36676,3.14498,1.40679,0.000748036,0.000748036,0.000748036
35,35249.3,2.22879,2.97414,1.2831,0.37329,0.15389,0.09432,0.02887,2.30499,3.01332,1.3717,0.000737037,0.000737037,0.000737037
36,36218.8,2.22739,2.91104,1.32639,0.32023,0.1635,0.14208,0.03777,2.46141,2.99376,1.44006,0.000726038,0.000726038,0.000726038
37,37193.8,2.22021,2.96362,1.28173,0.13822,0.17153,0.107,0.03131,2.4051,2.96449,1.44763,0.00071504,0.00071504,0.00071504
38,38147.4,2.18912,3.06103,1.27275,0.12695,0.17381,0.12675,0.04441,2.27335,2.94981,1.36975,0.000704041,0.000704041,0.000704041
39,39116.7,2.20076,2.91046,1.31137,0.13702,0.20864,0.12633,0.0469,2.33509,2.89918,1.36352,0.000693042,0.000693042,0.000693042
40,40083.7,2.17774,2.8615,1.28947,0.15447,0.20609,0.10532,0.03157,2.34696,3.28263,1.41364,0.000682043,0.000682043,0.000682043
41,41049.8,2.15845,2.90039,1.3374,0.08244,0.15557,0.08819,0.02662,2.36314,3.06659,1.43525,0.000671044,0.000671044,0.000671044
42,42026.1,2.12761,2.8393,1.23798,0.08617,0.16771,0.08651,0.02691,2.3915,2.96402,1.43884,0.000660045,0.000660045,0.000660045
43,43005.4,2.14701,2.75966,1.28144,0.12716,0.19129,0.10324,0.03507,2.33912,2.95115,1.3971,0.000649046,0.000649046,0.000649046
44,43968.8,2.156,2.83246,1.2848,0.14729,0.17836,0.09905,0.0291,2.379,3.01314,1.40881,0.000638047,0.000638047,0.000638047
45,44917.5,2.12289,2.80366,1.28679,0.12726,0.15033,0.09567,0.033,2.28025,2.9164,1.37172,0.000627048,0.000627048,0.000627048
46,45889.5,2.23532,2.81555,1.29909,0.57467,0.16469,0.11788,0.03777,2.35963,2.83144,1.45849,0.000616049,0.000616049,0.000616049
47,46869.2,2.15416,2.76618,1.29418,0.13426,0.17649,0.1007,0.03518,2.29531,2.85318,1.36477,0.000605051,0.000605051,0.000605051
48,47834.1,2.10954,2.73036,1.27584,0.15699,0.26263,0.11104,0.03677,2.2344,2.92802,1.37058,0.000594052,0.000594052,0.000594052
49,48808.7,2.06724,2.70148,1.28403,0.22392,0.23484,0.12145,0.03885,2.32636,2.87645,1.45223,0.000583053,0.000583053,0.000583053
50,49790.5,2.12104,2.65326,1.25165,0.14004,0.16644,0.11594,0.04109,2.43549,2.94475,1.46169,0.000572054,0.000572054,0.000572054
51,50732.9,2.1229,2.62158,1.26385,0.14323,0.27305,0.11365,0.03418,2.31835,3.05752,1.39254,0.000561055,0.000561055,0.000561055
52,51689.5,2.114,2.67802,1.22665,0.14966,0.19316,0.11507,0.04472,2.32452,2.77921,1.41216,0.000550056,0.000550056,0.000550056
53,52642.8,2.134,2.63284,1.25431,0.16063,0.20562,0.1242,0.04388,2.25864,2.82882,1.40142,0.000539057,0.000539057,0.000539057
54,53584.9,2.06503,2.62863,1.27482,0.15693,0.2143,0.12563,0.04688,2.20714,2.86743,1.38011,0.000528058,0.000528058,0.000528058
55,54571.3,2.06466,2.60585,1.23579,0.18938,0.13903,0.12107,0.04235,2.26791,2.87774,1.38565,0.000517059,0.000517059,0.000517059
56,55534.8,2.10256,2.49317,1.23737,0.11817,0.23792,0.10637,0.03223,2.43042,2.84453,1.4605,0.00050606,0.00050606,0.00050606
57,56500.6,2.03233,2.59058,1.23008,0.15823,0.15618,0.11141,0.0348,2.40882,2.97093,1.42329,0.000495062,0.000495062,0.000495062
58,57471.5,2.06932,2.50466,1.22517,0.11896,0.20933,0.09401,0.03124,2.44134,2.99938,1.44398,0.000484063,0.000484063,0.000484063
59,58438.5,1.98408,2.50995,1.21354,0.11773,0.23537,0.09279,0.02672,2.46179,2.99699,1.46855,0.000473064,0.000473064,0.000473064
60,59407.2,2.03939,2.49065,1.23856,0.14951,0.22575,0.1223,0.03887,2.40654,2.88621,1.47705,0.000462065,0.000462065,0.000462065
61,60376.8,2.01616,2.49061,1.2536,0.15848,0.1449,0.10212,0.03212,2.37812,2.9834,1.41897,0.000451066,0.000451066,0.000451066
62,61356,2.02313,2.33884,1.22849,0.15494,0.25807,0.10974,0.03431,2.33254,2.93015,1.39756,0.000440067,0.000440067,0.000440067
63,62346.4,2.03149,2.37333,1.17644,0.42873,0.20952,0.12065,0.03855,2.35953,2.84021,1.39446,0.000429068,0.000429068,0.000429068
64,63321.1,2.00709,2.37481,1.18659,0.1488,0.23749,0.10905,0.03268,2.35808,2.98926,1.40891,0.000418069,0.000418069,0.000418069
65,64302.5,1.98624,2.39112,1.2291,0.1755,0.20771,0.12613,0.04277,2.29848,2.81666,1.3682,0.00040707,0.00040707,0.00040707
66,65273.9,1.9908,2.37879,1.20552,0.15985,0.18367,0.12635,0.04477,2.39018,2.85078,1.42799,0.000396071,0.000396071,0.000396071
