best.ptbest.ptepoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,589.663,2.34477,26.1981,1.27321,0.81356,0.05554,0.03477,0.00953,2.40867,17.074,1.37667,0.000369078,0.000369078,0.000369078
2,1150.32,2.61737,14.1426,1.42415,0.68343,0.04426,0.01998,0.00569,2.93005,9.41007,1.57802,0.000715011,0.000715011,0.000715011
3,1706.83,2.6783,7.41804,1.54454,0.54062,0.04588,0.02938,0.00837,2.81078,5.50098,1.60848,0.0010365,0.0010365,0.0010365
4,2259.59,2.75406,5.29632,1.50519,0.78746,0.04775,0.02163,0.00652,2.55717,4.5618,1.49215,0.00100101,0.00100101,0.00100101
5,2810.5,2.67542,4.85072,1.50375,0.79411,0.04963,0.03044,0.00924,2.73788,4.35972,1.63801,0.000964348,0.000964348,0.000964348
6,3361.44,2.65701,4.40827,1.48324,0.8488,0.04344,0.06682,0.0217,2.449,3.84126,1.46346,0.000927685,0.000927685,0.000927685
7,3910.93,2.53157,4.21098,1.44863,0.30869,0.04588,0.02664,0.00746,2.60293,7.16601,1.49283,0.000891022,0.000891022,0.000891022
8,4459.86,2.5277,3.89886,1.42336,0.59397,0.06997,0.06136,0.02044,2.44797,3.66263,1.45922,0.000854359,0.000854359,0.000854359
9,5008.27,2.48956,3.95216,1.4152,0.55255,0.10301,0.03101,0.01079,2.41904,3.59964,1.48425,0.000817696,0.000817696,0.000817696
10,5555.38,2.46189,3.80924,1.37438,0.71955,0.08639,0.0805,0.02628,2.37753,3.39792,1.44555,0.000781033,0.000781033,0.000781033
11,6103.21,2.3876,3.75033,1.39224,0.59102,0.10094,0.06392,0.02041,2.5677,3.64541,1.51582,0.00074437,0.00074437,0.00074437
12,6647.66,2.44115,3.78433,1.4305,0.65352,0.07329,0.05737,0.01659,2.48362,3.43643,1.4689,0.000707707,0.000707707,0.000707707
13,7192.6,2.35628,3.57665,1.34709,0.60524,0.07984,0.08675,0.02836,2.36892,3.20429,1.4268,0.000671044,0.000671044,0.000671044
14,7739.46,2.34116,3.52386,1.38731,0.68647,0.09857,0.05881,0.01869,2.48243,3.35923,1.42525,0.000634381,0.000634381,0.000634381
15,8285.13,2.31755,3.44415,1.36211,0.34685,0.09954,0.0878,0.02433,2.30049,3.13275,1.40649,0.000597718,0.000597718,0.000597718
16,8830.67,2.33474,3.4151,1.34102,0.32074,0.10069,0.06817,0.01875,2.43285,3.07335,1.4674,0.000561055,0.000561055,0.000561055
17,9376.24,2.27719,3.34734,1.3159,0.40568,0.14227,0.11797,0.04679,2.23968,2.99736,1.38478,0.000524392,0.000524392,0.000524392
18,9921.52,2.26898,3.2951,1.33089,0.43748,0.10664,0.06817,0.02162,2.62042,3.37065,1.51152,0.000487729,0.000487729,0.000487729
19,10464.9,2.23512,3.27814,1.35624,0.17771,0.1565,0.1033,0.02963,2.39313,3.00669,1.41976,0.000451066,0.000451066,0.000451066
20,11006.4,2.1829,3.09131,1.26425,0.1062,0.17455,0.08923,0.02635,2.35134,3.13003,1.39483,0.000414403,0.000414403,0.000414403
21,11540.4,2.04224,2.88869,1.2298,0.13205,0.18796,0.09685,0.03035,2.31121,2.8713,1.38316,0.00037774,0.00037774,0.00037774
22,12069.5,2.07894,2.96239,1.25388,0.23298,0.17915,0.11305,0.03333,2.34967,2.86095,1.39478,0.000341077,0.000341077,0.000341077
23,12597.3,2.04347,2.77952,1.22503,0.16555,0.19741,0.10935,0.0377,2.30746,2.97984,1.39721,0.000304414,0.000304414,0.000304414
24,13125.8,2.11983,2.75744,1.2205,0.43391,0.17324,0.12715,0.04126,2.27335,2.8351,1.38216,0.000267751,0.000267751,0.000267751
25,13654.1,2.00976,2.71475,1.20136,0.25972,0.1877,0.12843,0.04456,2.25339,2.80699,1.3805,0.000231088,0.000231088,0.000231088
26,14182.9,2.057,2.59347,1.21021,0.17849,0.2291,0.10784,0.03717,2.19476,2.8836,1.34412,0.000194425,0.000194425,0.000194425
27,14711,2.05482,2.61364,1.21831,0.17263,0.20438,0.10033,0.03325,2.29748,2.80763,1.37751,0.000157762,0.000157762,0.000157762
28,15239.8,2.00944,2.54961,1.19035,0.14429,0.22897,0.09716,0.03172,2.31281,2.83223,1.38312,0.000121099,0.000121099,0.000121099
29,15769,1.95912,2.50912,1.20146,0.15716,0.20531,0.09601,0.03046,2.30505,2.86084,1.3798,8.4436e-05,8.4436e-05,8.4436e-05
30,16297.2,1.93294,2.51159,1.16728,0.13182,0.22422,0.09848,0.02806,2.32092,2.92755,1.37676,4.7773e-05,4.7773e-05,4.7773e-05
